Product_id,Category_names
1,Hotels_&_Travel
2,Printers
3,Hubs_and_Switches
4,Software
5,Laptops
6,Books
7,Music
8,Music
9,Music
10,Music
11,Books
12,Music
13,Music
14,Home
15,Home
16,Books
17,Printers
18,Printers
19,Printers
20,Printers
21,Desktops
22,Desktops
23,Desktops
24,Books
25,Cordless_Phones
26,Laptops
27,Books
28,Books
29,In_Theaters
30,Toys
31,Videos_&_DVDs
32,Videos_&_DVDs
33,Videos_&_DVDs
34,Books
35,Mousing_Devices
36,Removable_Storage
37,Printers
38,Printers
39,Desktops
40,Printers
41,Printers
42,Printers
43,Laptops
44,Desktops
45,Books
46,Videos_&_DVDs
47,Kids_&_Family
48,Online_Stores_&_Services
49,Videos_&_DVDs
50,Kids_&_Family
51,Printers
52,Printers
53,Desktops
54,Videos_&_DVDs
55,Videos_&_DVDs
56,Videos_&_DVDs
57,Videos_&_DVDs
58,Videos_&_DVDs
59,Videos_&_DVDs
60,Videos_&_DVDs
61,Desktops
62,Music
63,Laptops
64,Printers
65,Printers
66,Printers
67,Enterprise_Storage
68,Desktops
69,Laptops
70,Music
71,Books
72,DVD_Players
73,Books
74,Music
75,Music
76,Books
77,Litter
78,Books
79,Books
80,Videos_&_DVDs
81,Books
82,Books
83,Videos_&_DVDs
84,Music
85,Music
86,Videos_&_DVDs
87,Software
88,Music
89,Videos_&_DVDs
90,Food
91,Food
92,Books
93,Videos_&_DVDs
94,Books
95,Videos_&_DVDs
96,Music
97,Music
98,Food
99,Food
100,Food
101,Music
102,Food
103,Videos_&_DVDs
104,Music
105,Books
106,Music
107,Home
108,Videos_&_DVDs
109,Food
110,Videos_&_DVDs
111,Food
112,Food
113,Videos_&_DVDs
114,Videos_&_DVDs
115,Food
116,Food
117,Music
118,Litter
119,Food
120,Home
121,Music
122,Food
123,Local_Services
124,Kids_&_Family
125,Music
126,Food
127,Food
128,Food
129,Food
130,Videos_&_DVDs
131,Music
132,Food
133,Business_Services
134,Business_Services
135,Music
136,Music
137,Business_Services
138,Business_Services
139,Business_Services
140,Videos_&_DVDs
141,Music
142,Kids_&_Family
143,Music
144,Music
145,Videos_&_DVDs
146,Home
147,Books
148,Videos_&_DVDs
149,Videos_&_DVDs
150,Videos_&_DVDs
151,Videos_&_DVDs
152,Destinations
153,Keyboards
154,Desktops
155,Food
156,Litter
157,Food
158,Food
159,Cars
160,Small_Appliances
161,Books
162,Home
163,Books
164,Videos_&_DVDs
165,Music
166,Music
167,Music
168,Magazines
169,Books
170,Books
171,Videos_&_DVDs
172,Restaurants
173,Food
174,Books
175,Kids_&_Family
176,Food
177,Kids_&_Family
178,Books
179,Videos_&_DVDs
180,Videos_&_DVDs
181,Food
182,Small_Appliances
183,Small_Appliances
184,Books
185,Cookware
186,Cookware
187,Videos_&_DVDs
188,Videos_&_DVDs
189,Magazines
190,Magazines
